"V1" "V2"
"STP1" "YHR215W"
"STP1" "YHR217C"
"STP1" "YIL133C"
"STP1" "YIL124W"
"STP1" "YIL123W"
"STP1" "YIL121W"
"STP1" "YIL119C"
"STP1" "YIL118W"
"STP1" "YIL116W"
"STP1" "YIL114C"
"STP1" "YIL101C"
"STP1" "YIL099W"
"STP1" "YIL079C"
"STP1" "YIL074C"
"STP1" "YIL051C"
"STP1" "YIL041W"
"STP1" "YIL033C"
"STP1" "YIL027C"
"STP1" "YIL011W"
"STP1" "YIR017C"
"STP1" "YIR018W"
"STP1" "YIR027C"
"STP1" "YIR028W"
"STP1" "YIR032C"
"STP1" "YIR034C"
"STP1" "YIR039C"
"STP1" "YIR042C"
"STP1" "YIR043C"
"STP1" "YIR044C"
"STP1" "YJL223C"
"STP1" "YJL213W"
"STP1" "YJL212C"
"STP1" "YJL196C"
"STP1" "YJL170C"
"STP1" "YJL167W"
"STP1" "YJL161W"
"STP1" "YJL160C"
"STP1" "YJL158C"
"STP1" "YJL157C"
"STP1" "YJL153C"
"STP1" "YJL152W"
"STP1" "YJL144W"
"STP1" "YJL101C"
"STP1" "YJL026W"
"STP1" "YJR008W"
"STP1" "YJR010W"
"STP1" "YJR015W"
"STP1" "YJR075W"
"STP1" "YJR078W"
"STP1" "YJR079W"
"STP1" "YJR094C"
"STP1" "YJR119C"
"STP1" "YJR137C"
"STP1" "YJR146W"
"STP1" "YJR147W"
"STP1" "YJR148W"
"STP1" "YJR149W"
"STP1" "YJR150C"
"STP1" "YJR152W"
"STP1" "YJR154W"
"STP1" "YJR155W"
"STP1" "YJR156C"
"STP1" "YJR161C"
"STP1" "YKL214C"
"STP1" "YKL206C"
"STP1" "YKL198C"
"STP1" "YKL177W"
"STP1" "YKL165C"
"STP1" "YKL162C"
"STP1" "YKL161C"
"STP1" "YKL156W"
"STP1" "YKL151C"
"STP1" "YKL150W"
"STP1" "YKL149C"
"STP1" "YKL147C"
"STP1" "YKL142W"
"STP1" "YKL141W"
"STP1" "YKL129C"
"STP1" "YKL120W"
"STP1" "YKL119C"
"STP1" "YKL096W-A"
"STP1" "YKL086W"
"STP1" "YKL073W"
"STP1" "YKL051W"
"STP1" "YKL047W"
"STP1" "YKL044W"
"STP1" "YKL043W"
"STP1" "YKL036C"
"STP1" "YKL035W"
"STP1" "YKL031W"
"STP1" "YKL016C"
"STP1" "YKL002W"
"STP1" "YKL001C"
"STP1" "YKR012C"
"STP1" "YKR013W"
"STP1" "YKR024C"
"STP1" "YKR034W"
"STP1" "YKR046C"
"STP1" "YKR049C"
"STP1" "YKR061W"
"STP1" "YKR069W"
"STP1" "YKR095W"
"STP1" "YLL061W"
"STP1" "YLL057C"
"STP1" "YLL037W"
"STP1" "YLL032C"
"STP1" "YLL023C"
"STP1" "YLL015W"
"STP1" "YLL002W"
"STP1" "YLR004C"
