,Gene,CompareType
0,YBR110W,Double
1,YBR129C,Single
2,YBR137W,Double
3,YBR149W,Double
4,YBR167C,Single
5,YBR201W,Double
6,YBR240C,Double
7,YBR244W,Single
8,YBR265W,Single
9,YBR296C,Double
10,YBR297W,Double
11,YCL067C,Single
12,YCL042W,Double
13,YCL040W,Double
14,YCL031C,Single
15,YCL026C-A,Double
16,YCL025C,Double
17,YCR020C,Double
18,YCR089W,Double
19,YCR106W,Double
20,YDL241W,Double
21,YDL234C,Double
22,YDL227C,Double
23,YDL222C,Double
24,YDL215C,Double
25,YDL210W,Double
26,YDL205C,Double
27,YDL201W,Single
28,YDL199C,Double
29,YDL124W,Double
30,YDL039C,Double
31,YDL038C,Double
32,YDL029W,Single
33,YDR019C,Single
34,YDR034C,Double
35,YDR038C,Double
36,YDR042C,Double
37,YDR043C,Double
38,YDR046C,Double
39,YDR070C,Double
40,YDR077W,Single
41,YDR078C,Single
42,YDR171W,Double
43,YDR174W,Single
44,YDR176W,Single
45,YDR205W,Double
46,YDR209C,Single
47,YDR210W,Double
48,YDR242W,Double
49,YDR309C,Single
50,YDR315C,Double
51,YDR344C,Single
52,YDR366C,Double
53,YDR380W,Double
54,YDR384C,Double
55,YDR508C,Double
56,YDR518W,Double
57,YDR540C,Double
58,YEL066W,Double
59,YEL060C,Double
60,YER008C,Single
61,YER011W,Single
62,YER015W,Double
63,YER029C,Single
64,YER035W,Double
65,YER037W,Double
66,YER060W,Double
67,YER064C,Single
68,YER100W,Single
69,YER121W,Double
70,YER150W,Double
71,YER156C,Single
72,YER175C,Double
73,YER185W,Double
74,YFR001W,Double
75,YFR003C,Single
76,YFR006W,Single
77,YFR026C,Double
78,YFR030W,Double
79,YFR032C,Double
80,YFR044C,Single
81,YGL263W,Double
82,YGL166W,Double
83,YGL156W,Double
84,YGL121C,Double
85,YGL098W,Single
86,YGL062W,Single
87,YGL038C,Single
88,YGL032C,Double
89,YGR008C,Double
90,YGR012W,Single
91,YGR032W,Double
92,YGR039W,Double
93,YGR043C,Double
94,YGR055W,Double
95,YGR065C,Double
96,YGR087C,Double
97,YGR103W,Double
98,YGR108W,Single
99,YGR109C,Double
100,YGR110W,Double
101,YGR123C,Double
102,YGR134W,Single
103,YGR146C,Double
104,YGR160W,Double
105,YGR161C,DoubleSingle
106,YGR165W,Single
107,YGR167W,Single
108,YGR195W,Single
109,YGR213C,Double
110,YGR219W,Single
111,YGR220C,Single
112,YGR221C,Double
113,YGR248W,Double
114,YGR253C,Single
115,YGR256W,Double
116,YGR278W,Single
117,YHL050C,Double
118,YHL031C,Single
119,YHL021C,Double
120,YHR006W,Single
121,YHR032W,Double
122,YHR049C-A,Single
123,YHR066W,Double
124,YHR087W,Double
125,YHR096C,Double
126,YHR098C,Double
127,YHR124W,Double
128,YHR136C,Double
129,YHR137W,DoubleSingle
130,YHR138C,Double
131,YHR140W,Double
132,YHR146W,Single
133,YHR161C,Double
134,YHR162W,Double
135,YHR195W,Double
136,YHR196W,Double
137,YHR200W,Single
138,YHR209W,Double
139,YHR215W,Single
140,YIL133C,Double
141,YIL124W,Single
142,YIL119C,Single
143,YIL101C,Double
144,YIL099W,Double
145,YIL041W,Single
146,YIL010W,Single
147,YIR010W,Single
148,YIR016W,Single
149,YIR017C,Double
150,YIR027C,Double
151,YIR028W,Double
152,YIR032C,Double
153,YIR039C,Double
154,YIR042C,Double
155,YIR043C,Double
156,YJL223C,Double
157,YJL213W,Double
158,YJL170C,Double
159,YJL167W,Single
160,YJL161W,Double
161,YJL160C,Double
162,YJL157C,Double
163,YJL153C,Double
164,YJL152W,Double
165,YJL144W,Double
166,YJL124C,Single
167,YJR004C,Single
168,YJR008W,Double
169,YJR075W,Double
170,YJR078W,Double
171,YJR079W,Double
172,YJR112W,Single
173,YJR125C,Single
174,YJR144W,Single
175,YJR146W,Double
176,YJR147W,Double
177,YJR148W,DoubleSingle
178,YJR149W,Double
179,YJR152W,Double
180,YJR154W,Double
181,YJR155W,Double
182,YJR156C,Double
183,YJR161C,Double
184,YKL206C,Single
185,YKL177W,Double
186,YKL165C,Double
187,YKL162C,Double
188,YKL161C,Double
189,YKL151C,Double
190,YKL150W,Single
191,YKL149C,Single
192,YKL119C,Single
193,YKL096W-A,Single
194,YKL096W,Single
195,YKL086W,Double
196,YKL073W,Double
197,YKL063C,Single
198,YKL051W,Double
199,YKL031W,Double
200,YKR013W,Single
201,YKR024C,Double
202,YKR034W,Double
203,YKR046C,Double
204,YKR048C,Single
205,YKR049C,Double
206,YKR061W,Double
207,YKR093W,Single
208,YLL057C,Double
209,YLL037W,Single
210,YLL032C,Double
211,YLL023C,Single
212,YLR004C,Double
213,YLR031W,Double
214,YLR042C,Double
215,YLR049C,Single
216,YLR053C,Double
217,YLR054C,Double
218,YLR079W,Single
219,YLR094C,Single
220,YLR099C,DoubleSingle
221,YLR100W,Single
222,YLR101C,Single
223,YLR121C,Double
224,YLR136C,Double
225,YLR142W,Double
226,YLR149C,Double
227,YLR183C,Single
228,YLR194C,Double
229,YLR205C,Double
230,YLR231C,Single
231,YLR233C,Double
232,YLR237W,Double
233,YLR251W,Double
234,YLR252W,Double
235,YLR267W,Double
236,YLR294C,Single
237,YLR297W,Single
238,YLR327C,Double
239,YLR346C,Double
240,YLR351C,Single
241,YLR382C,Double
242,YLR392C,Double
243,YLR408C,Single
244,YLR413W,Double
245,YLR414C,Double
246,YLR415C,Double
247,YLR416C,Single
248,YLR423C,Double
249,YLR428C,Double
250,YLR438W,Double
251,YLR438C-A,Single
252,YLR464W,Double
253,YLR466W,Double
254,YLR467W,Double
255,YML130C,Double
256,YML123C,Double
257,YML119W,Single
258,YML109W,Single
259,YML091C,Double
260,YML058W,Double
261,YML054C,Double
262,YML010W,Double
263,YML007W,Single
264,NA,
265,YMR008C,Double
266,YMR023C,Single
267,YMR034C,Double
268,YMR036C,Double
269,YMR038C,Single
270,YMR040W,Double
271,YMR085W,Double
272,YMR101C,Double
273,YMR107W,Double
274,YMR135C,Single
275,YMR144W,Single
276,YMR145C,Double
277,YMR146C,Single
278,YMR171C,Single
279,YMR174C,Double
280,YMR179W,Single
281,YMR184W,Double
282,YMR191W,Double
283,YMR194C-A,Double
284,YMR195W,Single
285,YMR199W,Single
286,YMR236W,Single
287,YMR250W,Double
288,YMR272C,Single
289,YMR291W,Single
290,YMR294W-A,Single
291,YMR295C,Single
292,YMR316W,Double
293,YMR318C,Single
294,YMR321C,Single
295,YNL339C,Double
296,YNL315C,Single
297,YNL312W,Single
298,YNL300W,Single
299,YNL289W,Single
300,YNL284C,Single
301,YNL252C,Single
302,YNL217W,Single
303,YNL194C,Double
304,YNL180C,Single
305,YNL160W,Double
306,YNL152W,Single
307,YNL140C,Double
308,YNL117W,Double
309,YNL116W,Single
310,YNL112W,Double
311,YNL100W,Single
312,YNL098C,Single
313,YNL076W,Single
314,YNL065W,DoubleSingle
315,YNL044W,Double
316,YNL031C,Single
317,YNL020C,Double
318,YNL015W,Double
319,YNR001C,Double
320,YNR002C,Double
321,YNR018W,Single
322,YNR031C,Single
323,YNR034W,Double
324,YNR035C,Single
325,YNR044W,Double
326,YNR056C,Double
327,YNR057C,Double
328,YNR058W,Double
329,YNR060W,Single
330,YNR066C,Single
331,YOL155C,Double
332,YOL149W,Single
333,YOL141W,Double
334,YOL115W,Double
335,YOL055C,Double
336,YOL047C,Double
337,YOL038W,Single
338,YOL031C,Double
339,YOL028C,Double
340,YOL016C,Double
341,YOL015W,Double
342,YOR009W,Single
343,YOR043W,Single
344,YOR049C,Double
345,YOR074C,Single
346,YOR100C,Double
347,YOR152C,Double
348,YOR185C,Double
349,YOR192C,Double
350,YOR220W,Double
351,YOR229W,Single
352,YOR237W,Double
353,YOR273C,Double
354,YOR288C,Double
355,YOR289W,Double
356,YOR313C,Double
357,YOR324C,Single
358,YOR343C,Double
359,YOR354C,Single
360,YOR359W,Double
361,YOR367W,Single
362,YOR375C,Single
363,YOR382W,Double
364,YPL273W,Single
365,YPL265W,Double
366,YPL177C,Single
367,YPL163C,Single
368,YPL156C,Double
369,YPL129W,Single
370,YPL127C,Single
371,YPL118W,Single
372,YPL117C,Single
373,YPL095C,Double
374,YPL092W,Single
375,YPL088W,Double
376,YPL066W,Single
377,YPL065W,Single
378,YPL062W,Single
379,YPL054W,Double
380,YPL040C,Single
381,YPL033C,Double
382,YPL019C,Double
383,YPL016W,Single
384,YPL004C,Single
385,YPR001W,Double
386,YPR064W,Double
387,YPR077C,Double
388,YPR160W,Double
389,YPR170C,Single
390,YAL062W,DoubleSingle
391,YAL044C,Single
392,YAR015W,Single
393,YAR018C,Single
394,YAR029W,Double
395,YAR071W,DoubleSingle
396,YBL078C,Double
397,YBL058W,Single
398,YBL049W,Double
399,YBL048W,Double
400,YBR005W,Double
401,YBR010W,Single
402,YBR026C,Single
403,YBR032W,Double
404,YBR045C,Double
405,YBR047W,Double
406,YBR053C,Double
407,YBR056W,Double
408,YBR067C,Single
409,YBR068C,Double
410,YBR072W,Double
411,YBR083W,Single
412,YBR085W,Double
413,YJL078C,Double
414,YJL076W,Single
415,YJL073W,Double
416,YJL063C,Single
417,YJL057C,Double
418,YJL052W,Double
419,YJL048C,Double
420,YJL045W,Double
421,YJL037W,Double
422,YLL016W,Double
423,TLC1,Double
424,snR13,Double
425,snR31,Double
426,snR44,Double
427,snR54,Double
428,snR56,Double
429,snR6,Double
430,snR63,Double
431,snR69,Double
432,tA(AGC)P,Double
433,tC(GCA)P1,Double
434,tG(GCC)B,Double
435,tG(GCC)E,Double
436,tN(GUU)K,Double
437,tQ(UUG)C,Double
438,tQ(UUG)D1,Double
439,tQ(UUG)E1,Double
440,tT(UGU)P,Double
441,YIL079C,Double
442,YNL270C,Double
443,YOL020W,Double
444,YNCB0010W,Double
